Position,"Track Name",Artist,URL
1,Falling,"Trevor Daniel",https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
2,ROXANNE,"Arizona Zervas",https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"Lucid Dreams","Juice WRLD",https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
4,"Blue Monday - 2016 Remaster","New Order",https://open.spotify.com/track/1RSy7B2vfPi84N80QJ6frX
5,"Tera Baap Aaya","Farhad Bhiwandiwala",https://open.spotify.com/track/22qqToXc5l7Wkh9GcVTcet
6,"Yellow Hearts","Ant Saunders",https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
7,"Can We Kiss Forever?",Kina,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
8,GIANTS,"True Damage",https://open.spotify.com/track/5C0ivQMxes2lWuOANhvVAm
9,Candy,"Doja Cat",https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
10,"Birthday Suit","Cosmo Sheldrake",https://open.spotify.com/track/2FpGKiMD2kGDn8Lb9RLRLk
11,"Pyar Bolda","Jassa Dhillon",https://open.spotify.com/track/3RtR0XXNGtBHJkFgY6OvTQ
12,"If The World Was Ending (feat. Julia Michaels)","JP Saxe",https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
13,Filhall,"B Praak",https://open.spotify.com/track/6E7P1uT2afeor2t6wR2y2r
14,"everything i wanted","Billie Eilish",https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
15,Legends,"Juice WRLD",https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
16,"Xullo Son","Debabrata Gogoi",https://open.spotify.com/track/6TtLTWOLUrG88dCZawBywQ
17,"Dance Monkey",Vibe2Vibe,https://open.spotify.com/track/2b9F2d26QVGnzZtkzNU2XJ
18,"Tokyo Drifting (with Denzel Curry)","Glass Animals",https://open.spotify.com/track/3AHqaOkEFKZ6zEHdiplIv7
19,"Into the Unknown","Idina Menzel",https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
20,"Дикая львица",ALEX&RUS,https://open.spotify.com/track/41btOpCqdHf5lBd4KAOcfB
21,Rebound,"Jenny March",https://open.spotify.com/track/5kbJc0cYIlT8mXJHDghynG
22,"Lost in the Woods","Jonathan Groff",https://open.spotify.com/track/7namdlOhbtsc8FvoSafOQt
23,"Take Your Man","Mahogany Lox",https://open.spotify.com/track/1CF5kzz5XDBAL24wtVyyTJ
24,"In The Still of the Night","The Five Satins",https://open.spotify.com/track/0GVvRmCoiLkhxJvlZy9bLk
25,"Masalei Ni","Tm bax",https://open.spotify.com/track/1qBHQiciCpXlVlJung2H3p
26,Maniac,"Conan Gray",https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
27,"Дикая Львица - DJ Mexx & DJ Karimov Radio Remix",ALEX&RUS,https://open.spotify.com/track/5ZVvmqDVUPefoD9qwXB1RT
28,Memories,"Maroon 5",https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
29,"Channa Ve Channa","Abby V",https://open.spotify.com/track/4xNfQFUwDiB9mLdPvS0OtE
30,Buttercup,"Jack Stauber",https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC
31,"All Is Found","Evan Rachel Wood",https://open.spotify.com/track/61HVbcNeRACZpyvHrc3AnD
32,"Love Talk - English Version",WayV,https://open.spotify.com/track/2e3cJdJ8xWwydl8JIYlCqB
33,"Watermelon Sugar","Harry Styles",https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
34,"Innunu Bekagide (From Mundina Nildana)","Vasuki Vaibhav",https://open.spotify.com/track/0cM9KDttnfNN3HNZgQqKsZ
35,Tusa,"KAROL G",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
36,"I Tones and I Dance Monkey","Lucas Inside",https://open.spotify.com/track/2Cmd8bOU5zqFiH8k8PxMjV
37,"Heart On Ice","Rod Wave",https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD
38,"The Moments I'm Missing (feat. Nina Nesbitt)",RANJI,https://open.spotify.com/track/525xNwzGrf31OdVyN8RBl2
39,"Ten Thousand Hours","Jimmy Josh",https://open.spotify.com/track/1de2clYbFyblr2IEYQZ5Bn
40,"Dead Eyes","Promoting Sounds",https://open.spotify.com/track/7BdlyzVvOqmwPH9dYtZfsx
41,"hot girl bummer",blackbear,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
42,"Dance Monkey",Skylike,https://open.spotify.com/track/3g1MMelMBxLjtKwcIVFe0N
43,"Hechi Yel Deva Naka","Avdhoot Gandhi",https://open.spotify.com/track/5925YDlayAdqq1kz4V4Wfx
44,Weightu,SanGan,https://open.spotify.com/track/6TJnUcx629j1lZaToObldz
45,"Me and My Brother",5ive,https://open.spotify.com/track/0AZYhsESBrtRq88nxq6GMZ
46,"Gulon Main Rang","Ali Sethi",https://open.spotify.com/track/7J4UCQmUq4T5vzMmvE2NAq
47,"Flames (with ZAYN)",R3HAB,https://open.spotify.com/track/2zJms5D9VSUYjc9y3VJR3q
48,"Down Like That (feat. Rick Ross, Lil Baby & S-X)",KSI,https://open.spotify.com/track/4etKC4ngPKsQDHUMnYgV3A
49,Makhna,"Tanishk Bagchi",https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
50,"On My Way",Botzer,https://open.spotify.com/track/1i5gMfjheIJIqeDSjZtbSz
